car,move
O,1
AJ,-1
D,1
H,1
J,2
AH,1
H,-1
AB,-1
D,-1
AH,-1
O,-1
AG,1
H,1
AP,-1
AB,1
H,-1
AB,-1
AB,1
O,1
D,1
AG,-1
AL,-1
AQ,-1
AM,-1
AH,1
AE,-1
AP,1
AB,-1
AP,-1
AB,1
AB,-1
AA,-1
AP,1
AJ,1
AJ,-1
AP,-1
AE,1
A,-6
AQ,1
AO,1
J,1
H,1
B,-4
A,2
AM,1
H,-1
AG,1
H,1
AE,-1
AC,-3
AK,-1
AK,1
AL,1
AB,1
AL,-1
A,-1
AG,-1
AG,1
G,-1
I,-1
AH,1
F,1
AG,-1
J,-1
F,-1
G,1
I,1
P,1
AA,-1
AG,1
AG,-1
AH,-1
AM,-1
A,1
AM,1
AO,-1
AM,-1
A,-2
J,1
J,-1
AB,-1
G,-1
I,-1
AK,-1
AM,1
AQ,-1
AQ,1
I,1
AM,-1
AM,1
G,1
B,4
AA,1
AK,1
AL,1
AL,-1
A,4
AK,-1
AK,1
B,-2
AM,-1
I,-1
P,-1
AG,1
J,1
AC,1
J,-3
L,1
AM,1
H,1
AC,2
P,1
P,-1
P,1
AL,1
AO,1
AO,-1
AO,1
J,-1
H,1
K,1
AC,-3
AC,2
P,-1
AK,-1
P,2
P,-1
AC,-1
A,-2
D,-1
P,-1
H,-1
H,-1
AK,1
AG,-1
K,-1
J,1
AK,-1
D,1
AG,1
L,-1
AR,-1
P,2
AR,1
P,-1
AE,1
AE,-1
L,1
P,-1
L,-1
AL,-1
D,-1
AC,1
AK,1
H,-2
J,3
AH,1
AA,1
AI,-3
I,1
A,-2
AK,-1
AR,-1
G,-1
AC,-1
AO,-1
AE,1
I,-1
AD,1
G,1
AP,1
G,-1
J,-1
AD,-1
AD,1
AI,3
AI,-3
AD,-1
AP,-1
AP,1
AJ,1
H,4
AI,2
J,1
G,1
AE,-1
AJ,-1
G,-1
AG,-1
AE,1
A,1
AR,1
AA,-1
F,4
G,1
AA,1
AG,1
D,1
L,1
L,-1
B,-2
A,-1
AC,1
L,1
F,1
AP,-1
AC,-1
AC,1
AA,-1
AC,-1
AA,1
AR,-1
F,-1
AE,-1
F,1
AG,-1
AR,1
A,2
AQ,-2
AQ,1
AR,-1
AC,1
E,2
AA,-1
AI,-1
C,1
AE,1
AA,1
AO,1
AQ,1
B,1
R,-1
AA,-1
AO,-1
K,1
AO,1
R,-2
AG,1
D,-1
K,-1
AR,1
AC,-2
AG,-1
O,-1
B,1
A,-1
AG,1
AF,-1
AR,-1
AI,2
AG,-1
AO,-1
AH,-2
C,-1
AC,1
P,1
AE,1
B,-1
AR,1
AH,2
X,-1
G,-1
AQ,-1
P,-1
AI,-2
AR,-1
P,1
AA,1
AQ,-1
E,1
B,1
E,-1
AI,1
AD,2
AP,1
W,-1
AD,-2
E,1
R,1
Q,-1
AD,2
X,-1
P,-1
M,-1
K,1
M,1
AD,-1
M,-1
AR,1
AA,-1
B,-1
AC,-1
X,1
B,1
A,-1
M,1
AI,-2
AR,-1
P,1
V,1
R,1
AB,1
V,-1
A,1
W,3
B,-1
F,-1
R,-1
Q,1
S,1
X,1
X,-1
H,-1
P,-1
R,-1
H,1
W,1
V,1
AB,-1
AE,-1
AN,-1
AD,-1
AE,-1
AO,-1
E,-1
S,-1
P,1
AO,1
K,-1
AQ,2
S,1
AP,-1
K,1
X,1
AN,1
AB,1
K,-1
E,1
AO,1
F,1
F,-1
S,-1
M,-1
AN,-1
F,1
AN,1
P,-1
AE,1
AF,1
K,1
AF,-1
P,1
AE,-1
AA,-4
E,-1
R,1
AR,1
M,1
AO,-1
AB,-1
M,-1
AG,-2
S,1
V,-1
AR,-1
C,1
P,-1
AO,1
M,1
Y,-1
K,-1
A,-1
X,-1
R,1
U,1
AQ,-1
G,1
R,-1
C,-1
L,-1
R,1
J,-1
R,-1
AB,1
P,1
J,1
AG,1
C,1
AR,1
A,1
AE,1
B,1
AA,-1
P,-1
C,-1
P,1
S,-1
N,1
P,-1
A,1
AA,1
Q,-1
Q,1
AE,-1
S,1
A,-2
A,2
AR,-1
AE,1
A,-2
AQ,1
AE,-1
M,-1
AB,-1
Q,1
Q,-1
AA,-1
AA,1
Q,1
B,-1
X,1
AC,2
AE,1
N,-1
AC,-2
AG,2
B,1
C,2
B,-1
L,1
