car,move
O,1
AB,-1
J,2
AL,-1
D,1
A,-5
AQ,-1
P,1
AJ,-1
J,1
AH,1
AC,-2
AK,-1
H,1
AH,-1
A,1
A,-2
D,-1
AQ,1
AJ,1
D,1
AJ,-1
A,1
AJ,1
D,-1
AK,1
H,-1
AG,1
AC,1
AJ,-1
A,1
AL,1
AJ,1
O,-1
AJ,-1
B,-3
J,-4
I,-1
AP,-1
A,-1
AC,-1
AP,1
H,1
L,1
K,1
AG,-1
G,-1
O,1
F,2
J,1
H,-1
AL,-1
I,1
AJ,1
K,-1
P,-1
H,1
A,-1
I,-1
E,2
R,-1
L,-1
AH,1
L,1
AE,-1
AL,1
C,1
P,2
A,-1
K,1
X,-1
H,1
B,1
AA,-5
H,-1
A,1
C,-1
AG,1
AE,1
K,-1
Q,-1
L,-1
AJ,-1
L,1
Q,1
W,-1
AK,-1
AR,-1
H,1
AA,-1
Y,-1
AP,-1
Q,-1
P,-1
AD,1
AR,1
AA,1
P,-1
X,-1
L,-1
AO,1
A,1
J,3
R,-2
Y,1
AA,-1
Y,-1
AD,-1
AK,1
AK,-1
H,-2
AH,-1
AO,-1
I,1
AP,1
B,1
AC,1
M,-1
P,1
M,1
J,-1
U,1
AR,-1
AJ,1
AJ,-1
AJ,1
R,1
AL,-1
H,1
AM,-1
AJ,-1
A,-1
AR,1
X,1
J,-1
AC,-2
Q,1
AH,1
AA,1
N,1
AC,2
P,1
M,-1
Q,-1
AG,-1
A,1
AK,1
AG,1
AC,-1
P,-1
AH,-1
J,1
Q,1
R,-1
C,1
AA,-1
J,-3
T,-2
AH,1
AP,-1
L,1
AE,-1
H,-1
T,1
R,1
N,-1
J,1
H,1
T,-1
AC,2
L,-1
C,-1
B,1
AM,1
AO,1
R,-1
N,1
U,1
AB,1
AA,1
R,1
AB,-1
A,-1
N,-1
AH,1
T,2
AG,-1
AQ,-1
B,-2
AI,-1
P,-1
AI,-1
L,1
M,1
N,2
L,-1
N,-2
AC,-1
AK,-1
J,2
B,-1
P,1
I,-1
AK,1
I,1
U,2
B,1
AA,-1
M,-1
F,1
I,-1
AI,-1
J,-1
E,1
H,1
F,1
F,-1
E,-1
T,-2
AQ,1
E,1
AQ,-1
Y,1
AO,1
E,-1
J,-2
G,1
V,1
H,-1
G,-1
AE,1
A,1
AD,1
J,4
V,-1
A,-1
N,1
H,2
C,1
F,-1
AK,-1
A,1
AD,-1
H,-2
AO,-1
AR,-1
H,1
C,-1
AE,-1
V,1
R,-1
V,-1
AQ,1
Y,-1
F,2
AI,2
N,-2
F,-1
C,1
AG,1
N,5
AC,-2
F,-1
AC,2
C,-1
AG,-1
AG,1
L,1
AO,-1
P,-1
F,2
AO,1
Q,-1
G,3
F,-2
H,-2
AC,-2
R,1
R,-1
P,1
K,1
R,1
Q,1
AR,1
G,1
R,-1
K,-1
AB,1
AR,-1
N,-1
AB,-1
R,1
R,-1
U,-1
P,-1
AO,-1
P,1
AP,1
I,1
AG,-1
G,-1
AB,1
B,2
C,1
H,1
AP,-1
T,2
M,1
U,1
L,-1
C,-1
AQ,-1
AO,3
H,-1
AB,-1
H,1
AI,-1
M,-1
F,1
Q,-1
M,1
AQ,-1
P,-1
E,1
P,1
B,-2
J,-3
R,2
U,-1
U,1
AC,1
L,1
E,-1
P,-1
N,-1
AC,-1
K,1
J,-1
B,1
U,-2
G,-1
AB,1
AO,-3
N,-1
R,-1
Q,1
G,-2
A,-1
AO,1
K,-1
G,1
C,1
R,1
AQ,1
C,-1
Q,-1
U,1
AI,1
X,-1
AO,-1
G,1
AP,1
AR,1
A,1
AB,-1
X,1
AJ,1
AI,-1
AC,2
N,2
B,-1
AC,-1
A,-1
B,1
M,1
M,-1
Q,1
K,1
AC,-1
AI,-1
U,1
P,1
AJ,-1
AK,1
A,2
Q,-1
P,1
M,1
AQ,-1
AK,-1
X,-1
G,-1
AP,-1
U,-1
A,-2
AO,2
G,1
AK,1
AQ,1
M,-1
J,1
AO,-2
B,1
M,1
AQ,1
AC,1
AC,2
AC,-1
AQ,-1
P,-1
P,1
AP,1
AP,-1
AP,1
AP,-1
B,-2
AC,-2
AP,1
N,-1
AQ,-1
AB,1
AP,-1
X,1
AQ,1
N,1
I,-1
G,-1
P,-2
P,1
J,-1
K,-1
M,-1
I,1
B,1
A,1
AB,-1
AQ,1
L,-1
Q,1
P,-1
N,-1
AB,1
U,1
AE,1
J,3
J,-3
R,-1
Q,-1
AP,1
AE,-1
L,1
AE,1
R,-1
AJ,1
AQ,-2
L,-1
AK,-1
X,-1
AK,1
A,1
G,1
A,-1
G,-1
X,1
AK,-1
AJ,-1
R,1
N,1
AI,2
AP,-1
B,-1
M,1
AQ,2
AO,1
X,-1
AE,-1
AQ,-1
AI,-2
P,1
L,1
AR,-1
L,-1
P,-1
AR,1
AQ,1
AI,2
M,-1
B,1
J,3
J,1
A,-1
AR,-1
AG,1
L,1
AB,-1
N,-1
G,1
AI,-1
P,1
AR,1
R,1
A,1
U,-2
N,-1
B,1
P,-1
AR,-1
AG,-1
U,-1
R,-1
AR,1
AO,-1
M,-1
U,3
G,-1
L,-1
T,-2
Y,1
AC,2
L,1
AK,1
T,1
A,1
P,1
N,-1
AC,-1
AC,-1
AE,1
AO,1
T,1
K,1
A,-1
V,1
G,-1
V,-1
AI,1
A,-1
F,-1
AO,-1
W,1
AE,-1
N,2
P,-1
AK,-1
AE,1
A,1
AB,1
F,1
K,-1
AE,-1
K,1
AB,-1
AG,1
AK,1
B,-2
B,2
T,-2
AB,1
X,2
N,-2
A,-1
E,1
A,1
AB,-1
AP,1
AC,3
