puzzle,solution,iteration,algorithm,steps,time
data/Rushhour6x6_1.csv,0,0,TOL,47,0.0002834999995684484
data/Rushhour6x6_1.csv,0,0,RU,22,0.14307220000046073
data/Rushhour6x6_1.csv,0,0,ALL,23,0.08077219999904628
data/Rushhour6x6_1.csv,1,0,TOL,47,0.00033540000003995374
data/Rushhour6x6_1.csv,1,0,RU,22,0.16123979999974836
data/Rushhour6x6_1.csv,1,0,ALL,23,0.08614630000010948
data/Rushhour6x6_1.csv,2,0,TOL,47,0.0003892999993695412
data/Rushhour6x6_1.csv,2,0,RU,22,0.14895009999963804
data/Rushhour6x6_1.csv,2,0,ALL,23,0.08305230000041774
data/Rushhour6x6_1.csv,0,1,TOL,36,0.0002506000000721542
data/Rushhour6x6_1.csv,0,1,RU,22,0.08796160000019881
data/Rushhour6x6_1.csv,0,1,ALL,23,0.06051359999946726
data/Rushhour6x6_1.csv,1,1,TOL,36,0.0004637000001821434
data/Rushhour6x6_1.csv,1,1,RU,22,0.09123600000020815
data/Rushhour6x6_1.csv,1,1,ALL,23,0.06151719999979832
data/Rushhour6x6_1.csv,2,1,TOL,36,0.000232000000323751
data/Rushhour6x6_1.csv,2,1,RU,22,0.08858630000031553
data/Rushhour6x6_1.csv,2,1,ALL,23,0.06352319999859901
data/Rushhour6x6_1.csv,0,2,TOL,41,0.00028000000020256266
data/Rushhour6x6_1.csv,0,2,RU,23,0.1470569000011892
data/Rushhour6x6_1.csv,0,2,ALL,23,0.09165320000101929
data/Rushhour6x6_1.csv,1,2,TOL,41,0.0004487999995035352
data/Rushhour6x6_1.csv,1,2,RU,23,0.15240950000043085
data/Rushhour6x6_1.csv,1,2,ALL,23,0.07172239999999874
data/Rushhour6x6_1.csv,2,2,TOL,41,0.00030340000012074597
data/Rushhour6x6_1.csv,2,2,RU,23,0.14656819999981963
data/Rushhour6x6_1.csv,2,2,ALL,23,0.07596949999970093
data/Rushhour6x6_1.csv,0,3,TOL,48,0.0003758000002562767
data/Rushhour6x6_1.csv,0,3,RU,22,0.1623377999985678
data/Rushhour6x6_1.csv,0,3,ALL,22,0.12158219999946596
data/Rushhour6x6_1.csv,1,3,TOL,48,0.00030329999935929663
data/Rushhour6x6_1.csv,1,3,RU,22,0.16804310000043188
data/Rushhour6x6_1.csv,1,3,ALL,22,0.12241609999909997
data/Rushhour6x6_1.csv,2,3,TOL,48,0.0003089000001637032
data/Rushhour6x6_1.csv,2,3,RU,22,0.1577517000005173
data/Rushhour6x6_1.csv,2,3,ALL,22,0.13149369999882765
data/Rushhour6x6_1.csv,0,4,TOL,36,0.0002795000000332948
data/Rushhour6x6_1.csv,0,4,RU,22,0.12599410000075295
data/Rushhour6x6_1.csv,0,4,ALL,22,0.04519540000001143
data/Rushhour6x6_1.csv,1,4,TOL,36,0.00046430000111286063
data/Rushhour6x6_1.csv,1,4,RU,22,0.12819710000076157
data/Rushhour6x6_1.csv,1,4,ALL,22,0.04576760000054492
data/Rushhour6x6_1.csv,2,4,TOL,36,0.0003178999995725462
data/Rushhour6x6_1.csv,2,4,RU,22,0.12886239999897953
data/Rushhour6x6_1.csv,2,4,ALL,22,0.05151800000021467
data/Rushhour6x6_1.csv,0,5,TOL,41,0.0005989000001136446
data/Rushhour6x6_1.csv,0,5,RU,22,0.20174260000021604
data/Rushhour6x6_1.csv,0,5,ALL,22,0.10554039999988163
data/Rushhour6x6_1.csv,1,5,TOL,41,0.0006763999990653247
data/Rushhour6x6_1.csv,1,5,RU,22,0.2114808999995148
data/Rushhour6x6_1.csv,1,5,ALL,22,0.11633299999994051
data/Rushhour6x6_1.csv,2,5,TOL,41,0.00039759999890520703
data/Rushhour6x6_1.csv,2,5,RU,22,0.22099400000115565
data/Rushhour6x6_1.csv,2,5,ALL,22,0.11973379999835743
data/Rushhour6x6_1.csv,0,6,TOL,34,0.00034750000122585334
data/Rushhour6x6_1.csv,0,6,RU,22,0.09819579999930284
data/Rushhour6x6_1.csv,0,6,ALL,23,0.04243089999908989
data/Rushhour6x6_1.csv,1,6,TOL,34,0.0005435999992187135
data/Rushhour6x6_1.csv,1,6,RU,22,0.10920780000014929
data/Rushhour6x6_1.csv,1,6,ALL,23,0.048219099999187165
data/Rushhour6x6_1.csv,2,6,TOL,34,0.0005475000016303966
data/Rushhour6x6_1.csv,2,6,RU,22,0.10497020000002522
data/Rushhour6x6_1.csv,2,6,ALL,23,0.04204779999963648
data/Rushhour6x6_1.csv,0,7,TOL,45,0.0005735999984608497
data/Rushhour6x6_1.csv,0,7,RU,21,0.22762409999995725
data/Rushhour6x6_1.csv,0,7,ALL,21,0.10491499999989173
data/Rushhour6x6_1.csv,1,7,TOL,45,0.0006202999993547564
data/Rushhour6x6_1.csv,1,7,RU,21,0.25028459999884944
data/Rushhour6x6_1.csv,1,7,ALL,21,0.09075429999938933
data/Rushhour6x6_1.csv,2,7,TOL,45,0.0008244000000559026
data/Rushhour6x6_1.csv,2,7,RU,21,0.2445688000007067
data/Rushhour6x6_1.csv,2,7,ALL,21,0.0969347000009293
data/Rushhour6x6_1.csv,0,8,TOL,50,0.00033120000080089085
data/Rushhour6x6_1.csv,0,8,RU,21,0.14109079999980167
data/Rushhour6x6_1.csv,0,8,ALL,21,0.08988179999869317
data/Rushhour6x6_1.csv,1,8,TOL,50,0.0003054999997402774
data/Rushhour6x6_1.csv,1,8,RU,21,0.1870999999991909
data/Rushhour6x6_1.csv,1,8,ALL,21,0.10886720000053174
data/Rushhour6x6_1.csv,2,8,TOL,50,0.0007447999996657018
data/Rushhour6x6_1.csv,2,8,RU,21,0.13597809999919264
data/Rushhour6x6_1.csv,2,8,ALL,21,0.08641979999993055
data/Rushhour6x6_1.csv,0,9,TOL,38,0.00039010000000416767
data/Rushhour6x6_1.csv,0,9,RU,21,0.20596060000025318
data/Rushhour6x6_1.csv,0,9,ALL,21,0.06477180000001681
data/Rushhour6x6_1.csv,1,9,TOL,38,0.0004951999999320833
data/Rushhour6x6_1.csv,1,9,RU,21,0.21691490000011981
data/Rushhour6x6_1.csv,1,9,ALL,21,0.05531589999918651
data/Rushhour6x6_1.csv,2,9,TOL,38,0.0007882999998400919
data/Rushhour6x6_1.csv,2,9,RU,21,0.2078576999992947
data/Rushhour6x6_1.csv,2,9,ALL,21,0.05421329999990121
data/Rushhour6x6_2.csv,0,0,TOL,36,0.00031510000007983763
data/Rushhour6x6_2.csv,0,0,RU,15,0.09342019999894546
data/Rushhour6x6_2.csv,0,0,ALL,15,0.04376549999869894
data/Rushhour6x6_2.csv,1,0,TOL,36,0.0005261000005702954
data/Rushhour6x6_2.csv,1,0,RU,15,0.08942389999901934
data/Rushhour6x6_2.csv,1,0,ALL,15,0.04739039999913075
data/Rushhour6x6_2.csv,2,0,TOL,36,0.0004903000008198433
data/Rushhour6x6_2.csv,2,0,RU,15,0.08597929999996268
data/Rushhour6x6_2.csv,2,0,ALL,15,0.049455100001068786
data/Rushhour6x6_2.csv,0,1,TOL,30,0.00023359999977401458
data/Rushhour6x6_2.csv,0,1,RU,15,0.045221599999422324
data/Rushhour6x6_2.csv,0,1,ALL,15,0.04655880000063917
data/Rushhour6x6_2.csv,1,1,TOL,30,0.0001677999989624368
data/Rushhour6x6_2.csv,1,1,RU,15,0.04173199999968347
data/Rushhour6x6_2.csv,1,1,ALL,15,0.0384544000007736
data/Rushhour6x6_2.csv,2,1,TOL,30,0.000360099998943042
data/Rushhour6x6_2.csv,2,1,RU,15,0.03729120000025432
data/Rushhour6x6_2.csv,2,1,ALL,15,0.041480699999738135
data/Rushhour6x6_2.csv,0,2,TOL,28,0.00016519999917363748
data/Rushhour6x6_2.csv,0,2,RU,17,0.04000079999968875
data/Rushhour6x6_2.csv,0,2,ALL,17,0.035616099999970174
data/Rushhour6x6_2.csv,1,2,TOL,28,0.00021130000095581636
data/Rushhour6x6_2.csv,1,2,RU,17,0.03819649999968533
data/Rushhour6x6_2.csv,1,2,ALL,17,0.038667000000714324
data/Rushhour6x6_2.csv,2,2,TOL,28,0.00024479999956383836
data/Rushhour6x6_2.csv,2,2,RU,17,0.03676610000002256
data/Rushhour6x6_2.csv,2,2,ALL,17,0.03230790000088746
data/Rushhour6x6_2.csv,0,3,TOL,35,0.00018820000150299165
data/Rushhour6x6_2.csv,0,3,RU,17,0.06455739999910293
data/Rushhour6x6_2.csv,0,3,ALL,17,0.05426839999927324
data/Rushhour6x6_2.csv,1,3,TOL,35,0.00020249999943189323
data/Rushhour6x6_2.csv,1,3,RU,17,0.05409019999933662
data/Rushhour6x6_2.csv,1,3,ALL,17,0.050647800000660936
data/Rushhour6x6_2.csv,2,3,TOL,35,0.00017759999900590628
data/Rushhour6x6_2.csv,2,3,RU,17,0.053556200000457466
data/Rushhour6x6_2.csv,2,3,ALL,17,0.05121099999996659
data/Rushhour6x6_2.csv,0,4,TOL,24,0.00015639999946870375
data/Rushhour6x6_2.csv,0,4,RU,16,0.03967529999863473
data/Rushhour6x6_2.csv,0,4,ALL,16,0.03173149999929592
data/Rushhour6x6_2.csv,1,4,TOL,24,0.00015439999879163224
data/Rushhour6x6_2.csv,1,4,RU,16,0.03451919999861275
data/Rushhour6x6_2.csv,1,4,ALL,16,0.029489500000636326
data/Rushhour6x6_2.csv,2,4,TOL,24,0.00017780000052880496
data/Rushhour6x6_2.csv,2,4,RU,16,0.0353384999998525
data/Rushhour6x6_2.csv,2,4,ALL,16,0.02675709999857645
data/Rushhour6x6_2.csv,0,5,TOL,34,0.00019109999993816018
data/Rushhour6x6_2.csv,0,5,RU,17,0.06565719999889552
data/Rushhour6x6_2.csv,0,5,ALL,17,0.061586399999214336
data/Rushhour6x6_2.csv,1,5,TOL,34,0.00021089999972900841
data/Rushhour6x6_2.csv,1,5,RU,17,0.06765699999959907
data/Rushhour6x6_2.csv,1,5,ALL,17,0.06478179999976419
data/Rushhour6x6_2.csv,2,5,TOL,34,0.00030929999957152177
data/Rushhour6x6_2.csv,2,5,RU,17,0.06538360000013199
data/Rushhour6x6_2.csv,2,5,ALL,17,0.05924099999901955
data/Rushhour6x6_2.csv,0,6,TOL,39,0.00021089999972900841
data/Rushhour6x6_2.csv,0,6,RU,22,0.09671530000014172
data/Rushhour6x6_2.csv,0,6,ALL,22,0.07485369999994873
data/Rushhour6x6_2.csv,1,6,TOL,39,0.0003040000010514632
data/Rushhour6x6_2.csv,1,6,RU,22,0.11926999999923282
data/Rushhour6x6_2.csv,1,6,ALL,22,0.09471519999897282
data/Rushhour6x6_2.csv,2,6,TOL,39,0.00023499999952036887
data/Rushhour6x6_2.csv,2,6,RU,22,0.09717639999871608
data/Rushhour6x6_2.csv,2,6,ALL,22,0.07491870000012568
data/Rushhour6x6_2.csv,0,7,TOL,35,0.00018490000002202578
data/Rushhour6x6_2.csv,0,7,RU,17,0.06418690000100469
data/Rushhour6x6_2.csv,0,7,ALL,17,0.05215950000092562
data/Rushhour6x6_2.csv,1,7,TOL,35,0.00021840000044903718
data/Rushhour6x6_2.csv,1,7,RU,17,0.064417699999467
data/Rushhour6x6_2.csv,1,7,ALL,17,0.05491749999964668
data/Rushhour6x6_2.csv,2,7,TOL,35,0.0002325000004930189
